user_id,item_id,cat_id,seller_id,brand_id,time_stamp,action_type
219316,472,737,801,5890.0,1018,0
69247,471,1266,4614,4331.0,619,2
69247,471,1266,4614,4331.0,619,0
216952,352,991,3527,869.0,626,0
216952,352,991,3527,869.0,626,0
216952,352,991,3527,869.0,626,0
55440,432,1228,1365,2297.0,527,0
55440,432,1228,1365,2297.0,527,0
265624,428,946,1963,6109.0,1019,0
53257,467,151,1056,1439.0,1111,0
211279,362,36,3334,6352.0,1030,0
218826,467,151,1056,1439.0,618,0
218826,467,151,1056,1439.0,617,0
218826,467,151,1056,1439.0,617,2
190023,424,662,3432,5093.0,1111,0
190023,424,662,3432,5093.0,1111,0
190023,424,662,3432,5093.0,1111,0
190023,424,662,3432,5093.0,1111,3
190023,424,662,3432,5093.0,1111,2
190023,424,662,3432,5093.0,1111,0
29207,352,991,3527,869.0,1024,0
352283,368,1611,1816,2044.0,928,0
248818,417,737,669,6746.0,807,0
306999,425,1604,158,99.0,513,2
776,459,2,2813,5818.0,1111,0
239985,368,1611,1816,2044.0,1025,0
196506,464,302,191,1766.0,522,0
62154,372,1112,4801,8424.0,1105,0
262574,368,1611,1816,2044.0,927,0
262574,368,1611,1816,2044.0,927,0
262574,358,1397,4527,4635.0,1015,0
152427,424,662,3432,5093.0,1009,0
385418,472,737,801,5890.0,925,0
385418,472,737,801,5890.0,925,0
385418,472,737,801,5890.0,923,2
385418,472,737,801,5890.0,926,0
385418,472,737,801,5890.0,923,0
385418,472,737,801,5890.0,923,0
7692,467,151,1056,1439.0,1111,0
277964,362,36,3334,6352.0,818,0
39746,425,1604,158,99.0,622,0
396132,477,420,1784,7936.0,1001,0
407548,425,1604,158,99.0,627,0
41168,329,1505,957,6313.0,617,0
329971,457,1397,651,8353.0,1109,0
219722,373,420,121,2337.0,1106,0
240285,372,1112,4801,8424.0,1101,0
288941,472,737,801,5890.0,923,0
191895,452,1034,3534,8108.0,831,0
288955,424,662,3432,5093.0,1109,0
74699,427,1349,4301,3650.0,1003,0
202175,425,1604,158,99.0,626,0
238525,477,420,1784,7936.0,1025,0
238525,477,420,1784,7936.0,1025,3
238525,477,420,1784,7936.0,1109,0
247816,472,737,801,5890.0,922,0
209961,449,40,1102,1214.0,625,0
210880,355,662,4464,7504.0,1108,0
